week,state,state_name,disease,cases,incidence_per_capita
192801,AL,ALABAMA,MEASLES,97,3.67
192801,AR,ARKANSAS,MEASLES,76,4.11
192801,AZ,ARIZONA,MEASLES,8,1.9
192801,CA,CALIFORNIA,MEASLES,74,1.38
192801,CO,COLORADO,MEASLES,85,8.38
192801,CT,CONNECTICUT,MEASLES,71,4.5
192801,DE,DELAWARE,MEASLES,20,8.58
192801,FL,FLORIDA,MEASLES,3,0.21
192801,GA,GEORGIA,MEASLES,34,1.17
192801,IA,IOWA,MEASLES,4,0.16
192801,IL,ILLINOIS,MEASLES,38,0.5
192801,IN,INDIANA,MEASLES,43,1.34
192801,KS,KANSAS,MEASLES,15,0.81
192801,KY,KENTUCKY,MEASLES,79,3.08
192801,LA,LOUISIANA,MEASLES,39,1.89
192801,MA,MASSACHUSETTS,MEASLES,1082,25.66
192801,MD,MARYLAND,MEASLES,175,10.87
192801,ME,MAINE,MEASLES,36,4.52
192801,MI,MICHIGAN,MEASLES,265,5.68
192801,MN,MINNESOTA,MEASLES,8,0.31
192801,MO,MISSOURI,MEASLES,43,1.19
192801,MT,MONTANA,MEASLES,1,0.18
192801,NC,NORTH CAROLINA,MEASLES,1475,47.86
192801,NE,NEBRASKA,MEASLES,22,1.6
192801,NJ,NEW JERSEY,MEASLES,141,3.55
192801,NM,NEW MEXICO,MEASLES,62,14.9
192801,NY,NEW YORK,MEASLES,882,7.6
192801,OH,OHIO,MEASLES,166,2.51
192801,OK,OKLAHOMA,MEASLES,114,4.86
192801,OR,OREGON,MEASLES,46,4.91
192801,PA,PENNSYLVANIA,MEASLES,683,6.97
192801,RI,RHODE ISLAND,MEASLES,8,1.18
192801,SC,SOUTH CAROLINA,MEASLES,731,42.04
192801,SD,SOUTH DAKOTA,MEASLES,39,5.69
192801,TN,TENNESSEE,MEASLES,578,22.03
192801,TX,TEXAS,MEASLES,67,1.18
192801,UT,UTAH,MEASLES,2,0.4
192801,VT,VERMONT,MEASLES,1,0.28
192801,WA,WASHINGTON,MEASLES,230,14.83
192801,WI,WISCONSIN,MEASLES,45,1.54
192801,WV,WEST VIRGINIA,MEASLES,57,3.36
192801,WY,WYOMING,MEASLES,2,0.91
192802,AL,ALABAMA,MEASLES,165,6.25
192802,AR,ARKANSAS,MEASLES,183,9.91
192802,AZ,ARIZONA,MEASLES,27,6.4
192802,CA,CALIFORNIA,MEASLES,96,1.8
192802,CO,COLORADO,MEASLES,61,6.02
192802,CT,CONNECTICUT,MEASLES,142,9
192802,DE,DELAWARE,MEASLES,17,7.3
192802,FL,FLORIDA,MEASLES,7,0.49
192802,GA,GEORGIA,MEASLES,173,5.96
192802,ID,IDAHO,MEASLES,2,0.45
192802,IL,ILLINOIS,MEASLES,58,0.77
192802,IN,INDIANA,MEASLES,87,2.71
192802,KS,KANSAS,MEASLES,25,1.35
192802,KY,KENTUCKY,MEASLES,51,1.99
192802,LA,LOUISIANA,MEASLES,62,3
192802,MA,MASSACHUSETTS,MEASLES,1202,28.5
192802,MD,MARYLAND,MEASLES,249,15.47
192802,ME,MAINE,MEASLES,59,7.4
192802,MI,MICHIGAN,MEASLES,354,7.59
192802,MN,MINNESOTA,MEASLES,6,0.23
192802,MO,MISSOURI,MEASLES,30,0.83
192802,MT,MONTANA,MEASLES,1,0.18
192802,NC,NORTH CAROLINA,MEASLES,3689,119.7
192802,ND,NORTH DAKOTA,MEASLES,1,0.15
192802,NE,NEBRASKA,MEASLES,4,0.29
192802,NJ,NEW JERSEY,MEASLES,188,4.74
192802,NM,NEW MEXICO,MEASLES,46,11.06
192802,NY,NEW YORK,MEASLES,1119,9.65
192802,OK,OKLAHOMA,MEASLES,60,2.56
192802,OR,OREGON,MEASLES,46,4.91
192802,PA,PENNSYLVANIA,MEASLES,857,8.74
192802,RI,RHODE ISLAND,MEASLES,5,0.74
192802,SC,SOUTH CAROLINA,MEASLES,1459,83.9
192802,SD,SOUTH DAKOTA,MEASLES,45,6.57
192802,TN,TENNESSEE,MEASLES,445,16.96
192802,TX,TEXAS,MEASLES,36,0.63
192802,VT,VERMONT,MEASLES,2,0.56
192802,WA,WASHINGTON,MEASLES,269,17.34
192802,WI,WISCONSIN,MEASLES,28,0.96
192802,WV,WEST VIRGINIA,MEASLES,71,4.19
192803,AL,ALABAMA,MEASLES,210,7.95
192803,AR,ARKANSAS,MEASLES,206,11.15
192803,AZ,ARIZONA,MEASLES,19,4.5
192803,CA,CALIFORNIA,MEASLES,70,1.31
192803,CO,COLORADO,MEASLES,29,2.86
192803,CT,CONNECTICUT,MEASLES,139,8.81
192803,DE,DELAWARE,MEASLES,37,15.88
192803,FL,FLORIDA,MEASLES,6,0.42
192803,ID,IDAHO,MEASLES,2,0.45
192803,IL,ILLINOIS,MEASLES,46,0.61
192803,IN,INDIANA,MEASLES,55,1.71
192803,KS,KANSAS,MEASLES,26,1.41
192803,KY,KENTUCKY,MEASLES,135,5.26
192803,LA,LOUISIANA,MEASLES,48,2.33
192803,MA,MASSACHUSETTS,MEASLES,1466,34.76
192803,MD,MARYLAND,MEASLES,345,21.43
192803,ME,MAINE,MEASLES,54,6.78
192803,MI,MICHIGAN,MEASLES,438,9.39
192803,MN,MINNESOTA,MEASLES,4,0.15
192803,MO,MISSOURI,MEASLES,61,1.69
192803,MT,MONTANA,MEASLES,4,0.74
192803,NC,NORTH CAROLINA,MEASLES,3418,110.9
192803,ND,NORTH DAKOTA,MEASLES,8,1.2
192803,NE,NEBRASKA,MEASLES,5,0.36
192803,NJ,NEW JERSEY,MEASLES,265,6.68
192803,NM,NEW MEXICO,MEASLES,62,14.9
192803,NY,NEW YORK,MEASLES,991,8.54
192803,OH,OHIO,MEASLES,321,4.86
192803,OK,OKLAHOMA,MEASLES,147,6.27
192803,OR,OREGON,MEASLES,34,3.63
192803,PA,PENNSYLVANIA,MEASLES,796,8.12
192803,RI,RHODE ISLAND,MEASLES,18,2.65
192803,SC,SOUTH CAROLINA,MEASLES,1347,77.46
192803,SD,SOUTH DAKOTA,MEASLES,14,2.04
192803,TN,TENNESSEE,MEASLES,647,24.66
192803,TX,TEXAS,MEASLES,35,0.62
192803,UT,UTAH,MEASLES,1,0.2
192803,VT,VERMONT,MEASLES,4,1.12
192803,WA,WASHINGTON,MEASLES,243,15.67
192803,WI,WISCONSIN,MEASLES,140,4.79
192803,WV,WEST VIRGINIA,MEASLES,71,4.19
192803,WY,WYOMING,MEASLES,3,1.36
192804,AL,ALABAMA,MEASLES,332,12.58
192804,AR,ARKANSAS,MEASLES,254,13.75
192804,AZ,ARIZONA,MEASLES,8,1.9
192804,CA,CALIFORNIA,MEASLES,100,1.87
192804,CO,COLORADO,MEASLES,139,13.71
192804,CT,CONNECTICUT,MEASLES,164,10.4
192804,DC,DISTRICT OF COLUMBIA,MEASLES,20,4.18
192804,DE,DELAWARE,MEASLES,10,4.29
192804,FL,FLORIDA,MEASLES,13,0.91
192804,GA,GEORGIA,MEASLES,251,8.65
192804,IA,IOWA,MEASLES,86,3.51
192804,IL,ILLINOIS,MEASLES,61,0.81
192804,IN,INDIANA,MEASLES,132,4.11
192804,KS,KANSAS,MEASLES,21,1.14
192804,KY,KENTUCKY,MEASLES,141,5.49
192804,LA,LOUISIANA,MEASLES,83,4.02
192804,MA,MASSACHUSETTS,MEASLES,1319,31.28
192804,MD,MARYLAND,MEASLES,365,22.67
192804,ME,MAINE,MEASLES,75,9.41
192804,MI,MICHIGAN,MEASLES,404,8.66
192804,MN,MINNESOTA,MEASLES,3,0.12
192804,MO,MISSOURI,MEASLES,57,1.58
192804,NC,NORTH CAROLINA,MEASLES,4056,131.6
192804,ND,NORTH DAKOTA,MEASLES,26,3.91
192804,NE,NEBRASKA,MEASLES,6,0.44
192804,NH,NEW HAMPSHIRE,MEASLES,68,14.53
192804,NJ,NEW JERSEY,MEASLES,269,6.78
192804,NM,NEW MEXICO,MEASLES,115,27.64
192804,NY,NEW YORK,MEASLES,1081,9.32
192804,OH,OHIO,MEASLES,291,4.4
192804,OK,OKLAHOMA,MEASLES,111,4.74
192804,OR,OREGON,MEASLES,21,2.24
192804,PA,PENNSYLVANIA,MEASLES,822,8.39
192804,RI,RHODE ISLAND,MEASLES,1,0.15
192804,SC,SOUTH CAROLINA,MEASLES,1126,64.75
